date,point,name,average,min,max
2024-01-01,108,서울,3.3,-0.3,7.3
2024-01-02,108,서울,2.9,2.2,4.3
2024-01-03,108,서울,1.8,-1.1,4
2024-01-04,108,서울,1.4,-3.3,4.7
2024-01-05,108,서울,5,1.4,9.1
2024-01-06,108,서울,0.7,-2.7,5.2
2024-01-07,108,서울,-4.4,-8.3,-0.9
2024-01-08,108,서울,-4.7,-10.3,0
2024-01-09,108,서울,-0.6,-1.9,0.4
2024-01-10,108,서울,-1,-4.1,3.3
2024-01-11,108,서울,1.7,-2.4,4.5
2024-01-12,108,서울,0.9,-1.4,4.2
2024-01-13,108,서울,0.4,-3.8,6.4
2024-01-14,108,서울,-0.6,-3.3,2.4
2024-01-15,108,서울,-3.7,-6.9,0.9
2024-01-16,108,서울,-2.1,-7.2,4.3
2024-01-17,108,서울,0.6,-2.3,1.9
2024-01-18,108,서울,4.5,1.4,9.4
2024-01-19,108,서울,5.4,4,9
2024-01-20,108,서울,3.4,1.9,4.9
2024-01-21,108,서울,1.7,-2.4,4.3
2024-01-22,108,서울,-8.7,-11.9,-2.4
2024-01-23,108,서울,-11.7,-14,-8.2
2024-01-24,108,서울,-8,-11.2,-3.7
2024-01-25,108,서울,-5.3,-9.7,-0.5
2024-01-26,108,서울,-1.7,-6.9,4
2024-01-27,108,서울,-0.5,-4.6,4.6
2024-01-28,108,서울,-1.5,-5,3.8
2024-01-29,108,서울,-0.4,-4.8,4.6
2024-01-30,108,서울,1.4,-4,8.1
2024-01-31,108,서울,4.7,0.7,10.6
2024-02-01,108,서울,2.4,-1.3,8.2
2024-02-02,108,서울,3.1,0.7,7.9
2024-02-03,108,서울,4.7,-0.2,8.3
2024-02-04,108,서울,7.3,3.7,12.2
2024-02-05,108,서울,2.7,0.1,6.6
2024-02-06,108,서울,1.2,0,2.9
2024-02-07,108,서울,0.6,-0.9,2.7
2024-02-08,108,서울,0.6,-3,6.2
2024-02-09,108,서울,1.1,-2.5,6.1
2024-02-10,108,서울,1.7,-1.5,7.4
2024-02-11,108,서울,1,-3.1,5.5
2024-02-12,108,서울,3.5,-2.9,10.5
2024-02-13,108,서울,8.2,2,13.7
2024-02-14,108,서울,12.9,8.8,18.3
2024-02-15,108,서울,4.5,0.6,11.6
2024-02-16,108,서울,2.3,-1.5,8.1
2024-02-17,108,서울,4.4,-1.2,11.7
2024-02-18,108,서울,6.2,1.2,9.4
2024-02-19,108,서울,9.1,4.2,11.9
2024-02-20,108,서울,4.3,2.8,6.8
2024-02-21,108,서울,1.9,0,4
2024-02-22,108,서울,0.2,-1.1,1.6
2024-02-23,108,서울,1.8,-1,6.1
2024-02-24,108,서울,2,-1.3,5.9
2024-02-25,108,서울,2.8,0.8,5.9
2024-02-26,108,서울,3.8,-1.2,9.7
2024-02-27,108,서울,5.3,1.2,9.8
2024-02-28,108,서울,6.4,3.2,10.1
2024-02-29,108,서울,4.8,0.3,9.6
2024-03-01,108,서울,-4.1,-7.1,0.3
2024-03-02,108,서울,-0.5,-8.1,4.1
2024-03-03,108,서울,4,0.4,7.8
2024-03-04,108,서울,5.4,-1.8,11.7
2024-03-05,108,서울,8,5.5,11
2024-03-06,108,서울,6.2,2.5,10.3
2024-03-07,108,서울,3.9,1.2,8.2
2024-03-08,108,서울,2.1,-0.7,6.5
2024-03-09,108,서울,2,-2.1,7.1
2024-03-10,108,서울,4.2,-1.8,10.6
2024-03-11,108,서울,6.2,2,10.8
2024-03-12,108,서울,6.6,4.4,10
2024-03-13,108,서울,6.5,1.3,12
2024-03-14,108,서울,8.5,3.4,15.4
2024-03-15,108,서울,8.9,4,14.5
2024-03-16,108,서울,10.9,4.4,18.3
2024-03-17,108,서울,8.8,5.4,12.2
2024-03-18,108,서울,7.1,1.4,13.2
2024-03-19,108,서울,6.7,3.9,9.8
2024-03-20,108,서울,4.4,1.2,8.7
2024-03-21,108,서울,5,-1.2,11.5
2024-03-22,108,서울,10.4,3.8,15.2
2024-03-23,108,서울,13,9.3,18.2
2024-03-24,108,서울,16.2,10.5,23.4
2024-03-25,108,서울,10.6,6.7,14.5
2024-03-26,108,서울,7.4,3.2,12.4
2024-03-27,108,서울,10.4,4.4,16.2
2024-03-28,108,서울,10.3,7.8,12.2
2024-03-29,108,서울,7.6,5,12.3
2024-03-30,108,서울,8.8,3,15.6
2024-03-31,108,서울,10.6,3.4,17.7
2024-04-01,108,서울,12.2,5.5,19
2024-04-02,108,서울,15.4,7,23.9
2024-04-03,108,서울,16.6,13.9,19.7
2024-04-04,108,서울,15.5,12.4,20.3
2024-04-05,108,서울,14,10.2,18.8
2024-04-06,108,서울,12.7,8,18.9
2024-04-07,108,서울,14.8,7.7,23.4
2024-04-08,108,서울,16.2,11,22.8
